id,name,height,weight,genus,description,types,abilities
136,Flareon,9.00,250.00,Flame Pokemon,"Its average body temperature is between 1,300
and 1,500 degrees Fahrenheit. In its internal
flame sac, temperatures reach 3,000 degrees.",[fire],"[guts, flash-fire]"
137,Porygon,8.00,365.00,Virtual Pokemon,"It can convert its body into digital data,
which enables it to enter cyberspace.",[normal],"[analytic, download, trace]"
138,Omanyte,4.00,75.00,Spiral Pokemon,"Omanyte is one of the ancient and long-since-extinct Pokemon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell.","[water, rock]","[weak-armor, shell-armor, swift-swim]"
139,Omastar,10.00,350.00,Spiral Pokemon,"Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous.","[water, rock]","[weak-armor, shell-armor, swift-swim]"
140,Kabuto,5.00,115.00,Shellfish Pokemon,"Kabuto is a Pokemon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The Pokemon has not changed at all for
300 million years.","[water, rock]","[weak-armor, battle-armor, swift-swim]"
141,Kabutops,13.00,405.00,Shellfish Pokemon,"Kabutops swam underwater to hunt for its prey in ancient
times. The Pokemon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs.","[water, rock]","[weak-armor, battle-armor, swift-swim]"
142,Aerodactyl,18.00,590.00,Fossil Pokemon,"In ancient times, it ruled the skies. A widely
accepted theory is that it went extinct due to
a large meteor impact.","[flying, rock]","[unnerve, pressure, rock-head]"
143,Snorlax,21.00,4600.00,Sleeping Pokemon,"It eats nearly 900 pounds of food every day.
It starts nodding off while eatingâ€and continues
to eat even while it's asleep.",[normal],"[gluttony, thick-fat, immunity]"
144,Articuno,17.00,554.00,Freeze Pokemon,"Articuno is a legendary bird Pokemon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokemon flies, snow will fall.","[flying, ice]","[snow-cloak, pressure]"
145,Zapdos,16.00,526.00,Electric Pokemon,"Zapdos is a legendary bird Pokemon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokemon gains power if it is stricken by lightning bolts.","[flying, electric]","[static, pressure]"
146,Moltres,20.00,600.00,Flame Pokemon,"Moltres is a legendary bird Pokemon that has the ability
to control fire. If this Pokemon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself.","[flying, fire]","[flame-body, pressure]"
147,Dratini,18.00,33.00,Dragon Pokemon,"After a 10-hour struggle, a fisherman was able
to pull one up and confirm its existence.",[dragon],"[marvel-scale, shed-skin]"
148,Dragonair,40.00,165.00,Dragon Pokemon,"From time immemorial, it has been venerated by
agricultural peoples as an entity able to control
the weather.",[dragon],"[marvel-scale, shed-skin]"
149,Dragonite,22.00,2100.00,Dragon Pokemon,"Incur the wrath of this normally calm Pokemon
at your peril, because it will smash everything
to smithereens before it's satisfied.","[flying, dragon]","[multiscale, inner-focus]"
150,Mewtwo,20.00,1220.00,Genetic Pokemon,"Mewtwo is a Pokemon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokemon's body, they failed to
endow Mewtwo with a compassionate heart.",[psychic],"[unnerve, pressure]"
151,Mew,4.00,40.00,New Species Pokemon,"Mew is said to possess the genetic composition of all
Pokemon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people.",[psychic],[synchronize]
152,Chikorita,9.00,64.00,Leaf Pokemon,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokemon and creating a cozy,
friendly atmosphere all around.",[grass],"[leaf-guard, overgrow]"
153,Bayleef,12.00,158.00,Leaf Pokemon,"Bayleef's neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy.",[grass],"[leaf-guard, overgrow]"
154,Meganium,18.00,1005.00,Herb Pokemon,"The fragrance of Meganium's flower soothes and calms
emotions. In battle, this Pokemon gives off more of its
becalming scent to blunt the foe's fighting spirit.",[grass],"[leaf-guard, overgrow]"
155,Cyndaquil,5.00,79.00,Fire Mouse Pokemon,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokemon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion.",[fire],"[flash-fire, blaze]"
156,Quilava,9.00,190.00,Volcano Pokemon,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokemon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames.",[fire],"[flash-fire, blaze]"
157,Typhlosion,17.00,795.00,Volcano Pokemon,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokemon creates
blazing explosive blasts that burn everything to cinders.",[fire],"[flash-fire, blaze]"
158,Totodile,6.00,95.00,Big Jaw Pokemon,"Despite the smallness of its body, Totodile's jaws are very
powerful. While the Pokemon may think it is just playfully
nipping, its bite has enough power to cause serious injury.",[water],"[sheer-force, torrent]"
159,Croconaw,11.00,250.00,Big Jaw Pokemon,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in.",[water],"[sheer-force, torrent]"
160,Feraligatr,23.00,888.00,Big Jaw Pokemon,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed.",[water],"[sheer-force, torrent]"
161,Sentret,8.00,60.00,Scout Pokemon,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokemon becomes separated from its pack, it becomes
incapable of sleep due to fear.",[normal],"[frisk, keen-eye, run-away]"
162,Furret,18.00,325.00,Long Body Pokemon,"Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokemon is very nimble and fleet.",[normal],"[frisk, keen-eye, run-away]"
163,Hoothoot,7.00,212.00,Owl Pokemon,"Hoothoot has an internal organ that senses and tracks the
earth's rotation. Using this special organ, this Pokemon
begins hooting at precisely the same time every day.","[flying, normal]","[tinted-lens, keen-eye, insomnia]"
164,Noctowl,16.00,408.00,Owl Pokemon,"Noctowl never fails at catching prey in darkness. This Pokemon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight.","[flying, normal]","[tinted-lens, keen-eye, insomnia]"
165,Ledyba,10.00,108.00,Five Star Pokemon,"They communicate with one another using bodily
fluids that give off odors. When they're angry,
their odor smells sour.","[flying, bug]","[rattled, early-bird, swarm]"
166,Ledian,14.00,356.00,Five Star Pokemon,"In battle, it throws punches with all four arms.
The power of each individual blow is piddly,
so it aims to win by quantity rather than quality.","[flying, bug]","[iron-fist, early-bird, swarm]"
167,Spinarak,5.00,85.00,String Spit Pokemon,"Some fishermen weave its sturdy thread into
nets to catch fish Pokemon.","[poison, bug]","[sniper, insomnia, swarm]"
168,Ariados,11.00,335.00,Long Leg Pokemon,"It spins thread from both its rear and its mouth.
Then it wraps its prey up in thread and sips
their bodily fluids at its leisure.","[poison, bug]","[sniper, insomnia, swarm]"
169,Crobat,18.00,750.00,Bat Pokemon,"Silent and swift in its four-winged flight, it bites
down on its prey before they realize what's
happening. In a heartbeat, it drains their blood.","[flying, poison]","[infiltrator, inner-focus]"
170,Chinchou,5.00,120.00,Angler Pokemon,"It lives in the depths beyond the reach of
sunlight. It flashes lights on its antennae
to communicate with others of its kind.","[electric, water]","[water-absorb, illuminate, volt-absorb]"
171,Lanturn,12.00,225.00,Light Pokemon,"This Pokemon flashes a bright light that blinds
its prey. This creates an opening for it to deliver
an electrical attack.","[electric, water]","[water-absorb, illuminate, volt-absorb]"
172,Pichu,3.00,20.00,Tiny Mouse Pokemon,"Despite this Pokemon's cute appearance, those
who want to live with one should prepare to be
on the receiving end of its electric jolts.",[electric],"[lightning-rod, static]"
173,Cleffa,3.00,30.00,Star Shape Pokemon,"Because of its silhouette, it's believed to be a
star reborn. For some reason, it loves Minior.",[fairy],"[friend-guard, magic-guard, cute-charm]"
174,Igglybuff,3.00,10.00,Balloon Pokemon,"It moves by bouncing along. As it moves a lot,
it sweats, and its body gives off a sweet aroma.","[fairy, normal]","[friend-guard, competitive, cute-charm]"
175,Togepi,3.00,15.00,Spike Ball Pokemon,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokemon.
This Pokemon stores up feelings of happiness inside its shell,
then shares them with others.",[fairy],"[super-luck, serene-grace, hustle]"
176,Togetic,6.00,32.00,Happiness Pokemon,"Togetic is said to be a Pokemon that brings good fortune.
When the Pokemon spots someone who is pure of heart,
it is said to appear and share its happiness with that person.","[flying, fairy]","[super-luck, serene-grace, hustle]"
177,Natu,2.00,20.00,Tiny Bird Pokemon,"Natu has a highly developed jumping ability. The Pokemon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the tree's new shoots.","[flying, psychic]","[magic-bounce, early-bird, synchronize]"
178,Xatu,15.00,150.00,Mystic Pokemon,"Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokemon out of
their belief that Xatu is in possession of the power to see into
the future.","[flying, psychic]","[magic-bounce, early-bird, synchronize]"
179,Mareep,6.00,78.00,Wool Pokemon,"Mareep's fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows.",[electric],"[plus, static]"
180,Flaaffy,8.00,133.00,Wool Pokemon,"Flaaffy's wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity.",[electric],"[plus, static]"
181,Ampharos,14.00,615.00,Light Pokemon,"Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokemon
to send signals back and forth with others far away.",[electric],"[plus, static]"
182,Bellossom,4.00,58.00,Flower Pokemon,"A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloomâ€the more stinky the better. At night, this
Pokemon closes its petals and goes to sleep.",[grass],"[healer, chlorophyll]"
183,Marill,4.00,85.00,Aqua Mouse Pokemon,"When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokemon's
tail is flexible and configured to stretch.","[fairy, water]","[sap-sipper, huge-power, thick-fat]"
184,Azumarill,8.00,285.00,Aqua Rabbit Pokemon,"Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokemon. The air balloons
enable the Pokemon in trouble to breathe.","[fairy, water]","[sap-sipper, huge-power, thick-fat]"
185,Sudowoodo,12.00,380.00,Imitation Pokemon,"Apparently, the larger the green parts of this
Pokemon, the more collectors value it. It's a
particular favorite among elderly people.",[rock],"[rattled, rock-head, sturdy]"
186,Politoed,11.00,339.00,Frog Pokemon,"It's the leader of Poliwag and Poliwhirl.
When Politoed roars, they all cower in fear.",[water],"[drizzle, damp, water-absorb]"
187,Hoppip,4.00,5.00,Cottonweed Pokemon,"This Pokemon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away.","[flying, grass]","[infiltrator, leaf-guard, chlorophyll]"
188,Skiploom,6.00,10.00,Cottonweed Pokemon,"Skiploom's flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokemon
is sometimes used as a thermometer.","[flying, grass]","[infiltrator, leaf-guard, chlorophyll]"
189,Jumpluff,8.00,30.00,Cottonweed Pokemon,"Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokemon descends to the ground when it
encounters cold air while it is floating.","[flying, grass]","[infiltrator, leaf-guard, chlorophyll]"
190,Aipom,8.00,115.00,Long Tail Pokemon,"Aipom's tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the Pokemon uses its tail so
much, its real hands have become rather clumsy.",[normal],"[skill-link, pickup, run-away]"
191,Sunkern,3.00,18.00,Seed Pokemon,"Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew.",[grass],"[early-bird, solar-power, chlorophyll]"
192,Sunflora,8.00,85.00,Sun Pokemon,"Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night.",[grass],"[early-bird, solar-power, chlorophyll]"
193,Yanma,12.00,380.00,Clear Wing Pokemon,"Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokemon uses its flying ability
to quickly chase down targeted prey.","[flying, bug]","[frisk, compound-eyes, speed-boost]"
194,Wooper,4.00,85.00,Water Fish Pokemon,"Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film.","[ground, water]","[unaware, water-absorb, damp]"
195,Quagsire,14.00,750.00,Water Fish Pokemon,"Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokemon does not move, it does not get very hungry.","[ground, water]","[unaware, water-absorb, damp]"
196,Espeon,9.00,265.00,Sun Pokemon,"It unleashes psychic power from the orb on its
forehead. When its power is exhausted, the orb
grows dull and dark.",[psychic],"[magic-bounce, synchronize]"
197,Umbreon,10.00,270.00,Moonlight Pokemon,"With its black fur, it blends into the darkness.
It bides its time, and when prey appears, this
Pokemon goes for its throat, and then eats it.",[dark],"[inner-focus, synchronize]"
198,Murkrow,5.00,21.00,Darkness Pokemon,"Seen as a symbol of bad luck, it's generally
disliked. Yet it gives presentsâ€objects that
sparkle or shineâ€to Trainers it's close to.","[flying, dark]","[prankster, super-luck, insomnia]"
199,Slowking,20.00,795.00,Royal Pokemon,"This Pokemon is so famed for its intellect that a
proverb still persists in some regions: â€œWhen in
doubt, ask Slowking.â€","[psychic, water]","[regenerator, own-tempo, oblivious]"
200,Misdreavus,7.00,10.00,Screech Pokemon,"If you hear a sobbing sound emanating from a
vacant room, it's undoubtedly a bit of mischief
from Misdreavus.",[ghost],[levitate]
201,Unown,5.00,50.00,Symbol Pokemon,"This Pokemon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known.",[psychic],[levitate]
202,Wobbuffet,13.00,285.00,Patient Pokemon,"Wobbuffet does nothing but endure attacksâ€it won't attack on
its own. However, it won't endure an attack on its tail. When
that happens, the Pokemon will try to take the foe with it using
Destiny Bond.",[psychic],"[telepathy, shadow-tag]"
203,Girafarig,15.00,415.00,Long Neck Pokemon,"Girafarig's rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn't need to sleep, so it
can keep watch over its surroundings 24 hours a day.","[psychic, normal]","[sap-sipper, early-bird, inner-focus]"
204,Pineco,6.00,72.00,Bagworm Pokemon,"Pineco hangs from a tree branch and patiently waits for prey to
come along. If the Pokemon is disturbed while eating by
someone shaking its tree, it drops down to the ground and
explodes with no warning.",[bug],"[overcoat, sturdy]"
205,Forretress,12.00,1258.00,Bagworm Pokemon,"Forretress conceals itself inside its hardened steel shell.
The shell is opened when the Pokemon is catching prey,
but it does so at such a quick pace that the shell's inside
cannot be seen.","[steel, bug]","[overcoat, sturdy]"
206,Dunsparce,15.00,140.00,Land Snake Pokemon,"Dunsparce has a drill for its tail. It uses this tail to burrow into
the ground backward. This Pokemon is known to make its
nest in complex shapes deep under the ground.",[normal],"[rattled, run-away, serene-grace]"
207,Gligar,11.00,648.00,Fly Scorpion Pokemon,"Gligar glides through the air without a sound as if it were
sliding. This Pokemon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb.","[flying, ground]","[immunity, sand-veil, hyper-cutter]"
208,Steelix,92.00,4000.00,Iron Snake Pokemon,"Steelix lives even further underground than Onix.
This Pokemon is known to dig toward the earth's core.
There are records of this Pokemon reaching a depth of
over six-tenths of a mile underground.","[ground, steel]","[sheer-force, sturdy, rock-head]"
209,Snubbull,6.00,78.00,Fairy Pokemon,"Its growls make its opponents uneasy. This
laid-back Pokemon tends to sleep half the day.",[fairy],"[rattled, run-away, intimidate]"
210,Granbull,14.00,487.00,Fairy Pokemon,"More timid than Snubbull, this Pokemon is doted
on by young people amused at the contrast
between its looks and its attitude.",[fairy],"[rattled, quick-feet, intimidate]"
211,Qwilfish,5.00,39.00,Balloon Pokemon,"Qwilfish sucks in water, inflating itself. This Pokemon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging.","[poison, water]","[intimidate, swift-swim, poison-point]"
212,Scizor,18.00,1180.00,Pincer Pokemon,"Once it has identified an enemy, this Pokemon
smashes it mercilessly with pincers hard
as steel.","[steel, bug]","[light-metal, technician, swarm]"
213,Shuckle,6.00,205.00,Mold Pokemon,"Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice.","[rock, bug]","[contrary, gluttony, sturdy]"
214,Heracross,15.00,540.00,Single Horn Pokemon,"Heracross has sharp claws on its feet. These are planted
firmly into the ground or the bark of a tree, giving the
Pokemon a secure and solid footing to forcefully fling away
foes with its proud horn.","[fighting, bug]","[moxie, guts, swarm]"
215,Sneasel,9.00,280.00,Sharp Claw Pokemon,"It uses its claws to poke holes in eggs so it can
slurp out the insides. Breeders consider it a
scourge and will drive it away or eradicate it.","[ice, dark]","[pickpocket, keen-eye, inner-focus]"
216,Teddiursa,6.00,88.00,Little Bear Pokemon,"This Pokemon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill.",[normal],"[honey-gather, quick-feet, pickup]"
217,Ursaring,18.00,1258.00,Hibernator Pokemon,"In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food. This
Pokemon walks through its forest gathering food every day.",[normal],"[unnerve, quick-feet, guts]"
218,Slugma,7.00,350.00,Lava Pokemon,"Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokemon's body,
carrying essential nutrients and oxygen to its organs.",[fire],"[weak-armor, flame-body, magma-armor]"
219,Magcargo,8.00,550.00,Lava Pokemon,"Magcargo's body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokemon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog.","[rock, fire]","[weak-armor, flame-body, magma-armor]"
220,Swinub,4.00,65.00,Pig Pokemon,"Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokemon occasionally roots out hot springs.","[ground, ice]","[thick-fat, snow-cloak, oblivious]"
221,Piloswine,11.00,558.00,Swine Pokemon,"Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokemon uses its tusks to
dig up food that has been buried under ice.","[ground, ice]","[thick-fat, snow-cloak, oblivious]"
222,Corsola,6.00,50.00,Coral Pokemon,"Pursued by Mareanie for the branches on its
head, this Pokemon will sometimes snap its own
branches off as a diversion while it escapes.","[rock, water]","[regenerator, natural-cure, hustle]"
223,Remoraid,6.00,120.00,Jet Pokemon,"Remoraid sucks in water, then expels it at high velocity using
its abdominal muscles to shoot down flying prey. When
evolution draws near, this Pokemon travels downstream
from rivers.",[water],"[moody, sniper, hustle]"
224,Octillery,9.00,285.00,Jet Pokemon,"Octillery grabs onto its foe using its tentacles. This Pokemon
tries to immobilize it before delivering the finishing blow. If the
foe turns out to be too strong, Octillery spews ink to escape.",[water],"[moody, sniper, suction-cups]"
225,Delibird,9.00,160.00,Delivery Pokemon,"It has a generous habit of sharing its food with
people and Pokemon, so it's always scrounging
around for more food.","[flying, ice]","[insomnia, hustle, vital-spirit]"
226,Mantine,21.00,2200.00,Kite Pokemon,"On sunny days, schools of Mantine can be seen elegantly
leaping over the sea's waves. This Pokemon is not bothered
by the Remoraid that hitches rides.","[flying, water]","[water-veil, water-absorb, swift-swim]"
227,Skarmory,17.00,505.00,Armor Bird Pokemon,"Its metal body is sturdy, but it does rust rather
easily. So on rainy days, this Pokemon prefers
to stay put in its nest.","[flying, steel]","[weak-armor, sturdy, keen-eye]"
228,Houndour,6.00,108.00,Dark Pokemon,"Houndour hunt as a coordinated pack. They communicate
with each other using a variety of cries to corner their prey.
This Pokemon's remarkable teamwork is unparalleled.","[fire, dark]","[unnerve, flash-fire, early-bird]"
229,Houndoom,14.00,350.00,Dark Pokemon,"In a Houndoom pack, the one with its horns raked sharply
toward the back serves a leadership role. These Pokemon
choose their leader by fighting among themselves.","[fire, dark]","[unnerve, flash-fire, early-bird]"
230,Kingdra,18.00,1520.00,Dragon Pokemon,"Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokemon is said to awaken
and wander about in search of prey.","[dragon, water]","[damp, sniper, swift-swim]"
231,Phanpy,5.00,335.00,Long Nose Pokemon,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokemon can be seen drying their soaking-wet
bodies at the edge of water.",[ground],"[sand-veil, pickup]"
232,Donphan,11.00,1200.00,Armor Pokemon,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokemon
helps clear rock and mud slides that block mountain trails.",[ground],"[sand-veil, sturdy]"
233,Porygon2,6.00,325.00,Virtual Pokemon,"Porygon was updated to a new version in
readiness for planetary development. But that
dream remains unrealized as yet.",[normal],"[analytic, download, trace]"
234,Stantler,14.00,712.00,Big Horn Pokemon,"Stantler's magnificent antlers were traded at high prices as
works of art. As a result, this Pokemon was hunted close to
extinction by those who were after the priceless antlers.",[normal],"[sap-sipper, frisk, intimidate]"
235,Smeargle,12.00,580.00,Painter Pokemon,"It draws symbols all over the place to mark its
territory. In towns with many Smeargle, the walls
are covered in graffiti.",[normal],"[moody, technician, own-tempo]"
236,Tyrogue,7.00,210.00,Scuffle Pokemon,"Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokemon, the Trainer must establish
and uphold various training methods.",[fighting],"[vital-spirit, steadfast, guts]"
237,Hitmontop,14.00,480.00,Handstand Pokemon,"Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokemon travels
faster spinning than it does walking.",[fighting],"[steadfast, technician, intimidate]"
238,Smoochum,4.00,60.00,Kiss Pokemon,"Smoochum actively runs about, but also falls quite often.
Whenever the chance arrives, it will look for its reflection to
make sure its face hasn't become dirty.","[psychic, ice]","[hydration, forewarn, oblivious]"
239,Elekid,6.00,235.00,Electric Pokemon,"This Pokemon is constantly fighting with
Togedemaru that try to steal its electricity.
It's a pretty even match.",[electric],"[vital-spirit, static]"
240,Magby,7.00,214.00,Live Coal Pokemon,"A famous potter lives with a Magby.
Apparently its soft flames produce fine works.",[fire],"[vital-spirit, flame-body]"
241,Miltank,12.00,755.00,Milk Cow Pokemon,"Most people raise it for its milk, but it's quite
tough and strong, so it's also well suited
for battle.",[normal],"[sap-sipper, scrappy, thick-fat]"
242,Blissey,15.00,468.00,Happiness Pokemon,"Its fluffy fur coat acts as a sensor, enabling it to
read the feelings of people and Pokemon.",[normal],"[healer, serene-grace, natural-cure]"
243,Raikou,19.00,1780.00,Thunder Pokemon,"Raikou embodies the speed of lightning. The roars of
this Pokemon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down.",[electric],"[inner-focus, pressure]"
244,Entei,21.00,1980.00,Volcano Pokemon,"Entei embodies the passion of magma. This Pokemon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch.",[fire],"[inner-focus, pressure]"
245,Suicune,20.00,1870.00,Aurora Pokemon,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokemon has
the power to purify dirty water.",[water],"[inner-focus, pressure]"
246,Larvitar,6.00,720.00,Rock Skin Pokemon,"Larvitar is born deep under the ground. To come up to the
surface, this Pokemon must eat its way through the soil above.
Until it does so, Larvitar cannot see its parents.","[ground, rock]","[sand-veil, guts]"
247,Pupitar,12.00,1520.00,Hard Shell Pokemon,"Pupitar creates a gas inside its body that it compresses and
forcefully ejects to propel itself like a jet. The body is very
durableâ€it avoids damage even if it hits solid steel.","[ground, rock]",[shed-skin]
248,Tyranitar,20.00,2020.00,Armor Pokemon,"Tyranitar is so overwhelmingly powerful, it can bring down a
whole mountain to make its nest. This Pokemon wanders about
in mountains seeking new opponents to fight.","[dark, rock]","[unnerve, sand-stream]"
249,Lugia,52.00,2160.00,Diving Pokemon,"Lugia's wings pack devastating powerâ€a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokemon chooses to live out of sight deep under the sea.","[flying, psychic]","[multiscale, pressure]"
250,Ho-Oh,38.00,1990.00,Rainbow Pokemon,"Ho-Oh's feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokemon is said to live at
the foot of a rainbow.","[flying, fire]","[regenerator, pressure]"
251,Celebi,6.00,50.00,Time Travel Pokemon,"This Pokemon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us.","[grass, psychic]",[natural-cure]
252,Treecko,5.00,50.00,Wood Gecko Pokemon,"Treecko is cool, calm, and collectedâ€it never panics under
any situation. If a bigger foe were to glare at this Pokemon,
it would glare right back without conceding an inch of ground.",[grass],"[unburden, overgrow]"
253,Grovyle,9.00,216.00,Wood Gecko Pokemon,"This Pokemon adeptly flies from branch to branch in trees.
In a forest, no Pokemon can ever hope to catch a fleeing
Grovyle however fast they may be.",[grass],"[unburden, overgrow]"
254,Sceptile,17.00,522.00,Forest Pokemon,"Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokemon
raises the trees in a forest with loving care.",[grass],"[unburden, overgrow]"
255,Torchic,4.00,25.00,Chick Pokemon,"Torchic has a place inside its body where it keeps its flame.
Give it a hugâ€it will be glowing with warmth. This Pokemon is
covered all over by a fluffy coat of down.",[fire],"[speed-boost, blaze]"
256,Combusken,9.00,195.00,Young Fowl Pokemon,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokemon's cry is very loud and distracting.","[fighting, fire]","[speed-boost, blaze]"
257,Blaziken,19.00,520.00,Blaze Pokemon,"Blaziken has incredibly strong legsâ€it can easily clear a
30-story building in one leap. This Pokemon's blazing punches
leave its foes scorched and blackened.","[fighting, fire]","[speed-boost, blaze]"
258,Mudkip,4.00,76.00,Mud Fish Pokemon,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokemon will unleash
its amazing powerâ€it can crush rocks bigger than itself.",[water],"[damp, torrent]"
259,Marshtomp,7.00,280.00,Mud Fish Pokemon,"Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokemon's hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs.","[ground, water]","[damp, torrent]"
260,Swampert,15.00,819.00,Mud Fish Pokemon,"Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself.","[ground, water]","[damp, torrent]"
261,Poochyena,5.00,136.00,Bite Pokemon,"Poochyena is an omnivoreâ€it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokemon tries to intimidate its foes by making the hair on its
tail bristle out.",[dark],"[rattled, quick-feet, run-away]"
262,Mightyena,10.00,370.00,Bite Pokemon,"Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokemon to obey only
those Trainers that it recognizes to possess superior skill.",[dark],"[moxie, quick-feet, intimidate]"
263,Zigzagoon,4.00,175.00,Tiny Raccoon Pokemon,"The hair on Zigzagoon's back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokemon
may play dead to fool foes in battle.",[normal],"[quick-feet, gluttony, pickup]"
264,Linoone,5.00,325.00,Rushing Pokemon,"When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokemon is capable of topping
60 mph, it has to come to a screeching halt before it can turn.",[normal],"[quick-feet, gluttony, pickup]"
