id,name,types,height,weight,abilities,egg_groups,genus,description
128,Tauros,[normal],14.00,884.00,"[sheer-force, anger-point, intimidate]",[ground],Wild Bull Pokemon,"Although it's known to be a fierce Pokemon,
Tauros in the Alola region are said to possess
a measure of calmness."
129,Magikarp,[water],9.00,100.00,"[rattled, swift-swim]","[dragon, water2]",Fish Pokemon,"Its reckless leaps make it easy pickings for
predators. On the bright side, many Pokemon
enjoy longer life spans, thanks to Magikarp."
130,Gyarados,"[flying, water]",65.00,2350.00,"[moxie, intimidate]","[dragon, water2]",Atrocious Pokemon,"There are people who swear that any place
Gyarados appears is fated for destruction."
131,Lapras,"[ice, water]",25.00,2200.00,"[hydration, shell-armor, water-absorb]","[water1, monster]",Transport Pokemon,"These Pokemon were once near extinction due
to poaching. Following protective regulations,
there is now an overabundance of them."
132,Ditto,[normal],3.00,40.00,"[imposter, limber]",[ditto],Transform Pokemon,"With its astonishing capacity for
metamorphosis, it can get along with anything.
It does not get along well with its fellow Ditto."
133,Eevee,[normal],3.00,65.00,"[anticipation, adaptability, run-away]",[ground],Evolution Pokemon,"Current studies show it can evolve into an
incredible eight different species of Pokemon."
134,Vaporeon,[water],10.00,290.00,"[hydration, water-absorb]",[ground],Bubble Jet Pokemon,"Blending in with the water and erasing all signs
of its presence, it patiently waits for its prey,
fish Pokemon."
135,Jolteon,[electric],8.00,245.00,"[quick-feet, volt-absorb]",[ground],Lightning Pokemon,"When its fur stands on end, that's a sign it's
about to give off a jolt of electricity. Take care,
as sometimes lightning strikes next to it, too."
136,Flareon,[fire],9.00,250.00,"[guts, flash-fire]",[ground],Flame Pokemon,"Its average body temperature is between 1,300
and 1,500 degrees Fahrenheit. In its internal
flame sac, temperatures reach 3,000 degrees."
137,Porygon,[normal],8.00,365.00,"[analytic, download, trace]",[mineral],Virtual Pokemon,"It can convert its body into digital data,
which enables it to enter cyberspace."
138,Omanyte,"[water, rock]",4.00,75.00,"[weak-armor, shell-armor, swift-swim]","[water3, water1]",Spiral Pokemon,"Omanyte is one of the ancient and long-since-extinct Pokemon
that have been regenerated from fossils by people. If attacked
by an enemy, it withdraws itself inside its hard shell."
139,Omastar,"[water, rock]",10.00,350.00,"[weak-armor, shell-armor, swift-swim]","[water3, water1]",Spiral Pokemon,"Omastar uses its tentacles to capture its prey. It is
believed to have become extinct because its shell grew too
large and heavy, causing its movements to become too slow
and ponderous."
140,Kabuto,"[water, rock]",5.00,115.00,"[weak-armor, battle-armor, swift-swim]","[water3, water1]",Shellfish Pokemon,"Kabuto is a Pokemon that has been regenerated from a fossil.
However, in extremely rare cases, living examples have
been discovered. The Pokemon has not changed at all for
300 million years."
141,Kabutops,"[water, rock]",13.00,405.00,"[weak-armor, battle-armor, swift-swim]","[water3, water1]",Shellfish Pokemon,"Kabutops swam underwater to hunt for its prey in ancient
times. The Pokemon was apparently evolving from being a
water dweller to living on land as evident from the beginnings
of change in its gills and legs."
142,Aerodactyl,"[flying, rock]",18.00,590.00,"[unnerve, pressure, rock-head]",[flying],Fossil Pokemon,"In ancient times, it ruled the skies. A widely
accepted theory is that it went extinct due to
a large meteor impact."
143,Snorlax,[normal],21.00,4600.00,"[gluttony, thick-fat, immunity]",[monster],Sleeping Pokemon,"It eats nearly 900 pounds of food every day.
It starts nodding off while eatingâ€and continues
to eat even while it's asleep."
144,Articuno,"[flying, ice]",17.00,554.00,"[snow-cloak, pressure]",[no-eggs],Freeze Pokemon,"Articuno is a legendary bird Pokemon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokemon flies, snow will fall."
145,Zapdos,"[flying, electric]",16.00,526.00,"[static, pressure]",[no-eggs],Electric Pokemon,"Zapdos is a legendary bird Pokemon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokemon gains power if it is stricken by lightning bolts."
146,Moltres,"[flying, fire]",20.00,600.00,"[flame-body, pressure]",[no-eggs],Flame Pokemon,"Moltres is a legendary bird Pokemon that has the ability
to control fire. If this Pokemon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself."
147,Dratini,[dragon],18.00,33.00,"[marvel-scale, shed-skin]","[dragon, water1]",Dragon Pokemon,"After a 10-hour struggle, a fisherman was able
to pull one up and confirm its existence."
148,Dragonair,[dragon],40.00,165.00,"[marvel-scale, shed-skin]","[dragon, water1]",Dragon Pokemon,"From time immemorial, it has been venerated by
agricultural peoples as an entity able to control
the weather."
149,Dragonite,"[flying, dragon]",22.00,2100.00,"[multiscale, inner-focus]","[dragon, water1]",Dragon Pokemon,"Incur the wrath of this normally calm Pokemon
at your peril, because it will smash everything
to smithereens before it's satisfied."
150,Mewtwo,[psychic],20.00,1220.00,"[unnerve, pressure]",[no-eggs],Genetic Pokemon,"Mewtwo is a Pokemon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokemon's body, they failed to
endow Mewtwo with a compassionate heart."
151,Mew,[psychic],4.00,40.00,[synchronize],[no-eggs],New Species Pokemon,"Mew is said to possess the genetic composition of all
Pokemon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people."
152,Chikorita,[grass],9.00,64.00,"[leaf-guard, overgrow]","[plant, monster]",Leaf Pokemon,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokemon and creating a cozy,
friendly atmosphere all around."
153,Bayleef,[grass],12.00,158.00,"[leaf-guard, overgrow]","[plant, monster]",Leaf Pokemon,"Bayleef's neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy."
154,Meganium,[grass],18.00,1005.00,"[leaf-guard, overgrow]","[plant, monster]",Herb Pokemon,"The fragrance of Meganium's flower soothes and calms
emotions. In battle, this Pokemon gives off more of its
becalming scent to blunt the foe's fighting spirit."
155,Cyndaquil,[fire],5.00,79.00,"[flash-fire, blaze]",[ground],Fire Mouse Pokemon,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokemon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion."
156,Quilava,[fire],9.00,190.00,"[flash-fire, blaze]",[ground],Volcano Pokemon,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokemon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames."
157,Typhlosion,[fire],17.00,795.00,"[flash-fire, blaze]",[ground],Volcano Pokemon,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokemon creates
blazing explosive blasts that burn everything to cinders."
158,Totodile,[water],6.00,95.00,"[sheer-force, torrent]","[water1, monster]",Big Jaw Pokemon,"Despite the smallness of its body, Totodile's jaws are very
powerful. While the Pokemon may think it is just playfully
nipping, its bite has enough power to cause serious injury."
159,Croconaw,[water],11.00,250.00,"[sheer-force, torrent]","[water1, monster]",Big Jaw Pokemon,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in."
160,Feraligatr,[water],23.00,888.00,"[sheer-force, torrent]","[water1, monster]",Big Jaw Pokemon,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed."
161,Sentret,[normal],8.00,60.00,"[frisk, keen-eye, run-away]",[ground],Scout Pokemon,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokemon becomes separated from its pack, it becomes
incapable of sleep due to fear."
162,Furret,[normal],18.00,325.00,"[frisk, keen-eye, run-away]",[ground],Long Body Pokemon,"Furret has a very slim build. When under attack, it can slickly
squirm through narrow spaces and get away. In spite of its
short limbs, this Pokemon is very nimble and fleet."
163,Hoothoot,"[flying, normal]",7.00,212.00,"[tinted-lens, keen-eye, insomnia]",[flying],Owl Pokemon,"Hoothoot has an internal organ that senses and tracks the
earth's rotation. Using this special organ, this Pokemon
begins hooting at precisely the same time every day."
164,Noctowl,"[flying, normal]",16.00,408.00,"[tinted-lens, keen-eye, insomnia]",[flying],Owl Pokemon,"Noctowl never fails at catching prey in darkness. This Pokemon
owes its success to its superior vision that allows it to see in
minimal light, and to its soft, supple wings that make no sound
in flight."
165,Ledyba,"[flying, bug]",10.00,108.00,"[rattled, early-bird, swarm]",[bug],Five Star Pokemon,"They communicate with one another using bodily
fluids that give off odors. When they're angry,
their odor smells sour."
166,Ledian,"[flying, bug]",14.00,356.00,"[iron-fist, early-bird, swarm]",[bug],Five Star Pokemon,"In battle, it throws punches with all four arms.
The power of each individual blow is piddly,
so it aims to win by quantity rather than quality."
167,Spinarak,"[poison, bug]",5.00,85.00,"[sniper, insomnia, swarm]",[bug],String Spit Pokemon,"Some fishermen weave its sturdy thread into
nets to catch fish Pokemon."
168,Ariados,"[poison, bug]",11.00,335.00,"[sniper, insomnia, swarm]",[bug],Long Leg Pokemon,"It spins thread from both its rear and its mouth.
Then it wraps its prey up in thread and sips
their bodily fluids at its leisure."
169,Crobat,"[flying, poison]",18.00,750.00,"[infiltrator, inner-focus]",[flying],Bat Pokemon,"Silent and swift in its four-winged flight, it bites
down on its prey before they realize what's
happening. In a heartbeat, it drains their blood."
170,Chinchou,"[electric, water]",5.00,120.00,"[water-absorb, illuminate, volt-absorb]",[water2],Angler Pokemon,"It lives in the depths beyond the reach of
sunlight. It flashes lights on its antennae
to communicate with others of its kind."
171,Lanturn,"[electric, water]",12.00,225.00,"[water-absorb, illuminate, volt-absorb]",[water2],Light Pokemon,"This Pokemon flashes a bright light that blinds
its prey. This creates an opening for it to deliver
an electrical attack."
172,Pichu,[electric],3.00,20.00,"[lightning-rod, static]",[no-eggs],Tiny Mouse Pokemon,"Despite this Pokemon's cute appearance, those
who want to live with one should prepare to be
on the receiving end of its electric jolts."
173,Cleffa,[fairy],3.00,30.00,"[friend-guard, magic-guard, cute-charm]",[no-eggs],Star Shape Pokemon,"Because of its silhouette, it's believed to be a
star reborn. For some reason, it loves Minior."
174,Igglybuff,"[fairy, normal]",3.00,10.00,"[friend-guard, competitive, cute-charm]",[no-eggs],Balloon Pokemon,"It moves by bouncing along. As it moves a lot,
it sweats, and its body gives off a sweet aroma."
175,Togepi,[fairy],3.00,15.00,"[super-luck, serene-grace, hustle]",[no-eggs],Spike Ball Pokemon,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokemon.
This Pokemon stores up feelings of happiness inside its shell,
then shares them with others."
176,Togetic,"[flying, fairy]",6.00,32.00,"[super-luck, serene-grace, hustle]","[fairy, flying]",Happiness Pokemon,"Togetic is said to be a Pokemon that brings good fortune.
When the Pokemon spots someone who is pure of heart,
it is said to appear and share its happiness with that person."
177,Natu,"[flying, psychic]",2.00,20.00,"[magic-bounce, early-bird, synchronize]",[flying],Tiny Bird Pokemon,"Natu has a highly developed jumping ability. The Pokemon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the tree's new shoots."
178,Xatu,"[flying, psychic]",15.00,150.00,"[magic-bounce, early-bird, synchronize]",[flying],Mystic Pokemon,"Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokemon out of
their belief that Xatu is in possession of the power to see into
the future."
179,Mareep,[electric],6.00,78.00,"[plus, static]","[ground, monster]",Wool Pokemon,"Mareep's fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows."
180,Flaaffy,[electric],8.00,133.00,"[plus, static]","[ground, monster]",Wool Pokemon,"Flaaffy's wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity."
181,Ampharos,[electric],14.00,615.00,"[plus, static]","[ground, monster]",Light Pokemon,"Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokemon
to send signals back and forth with others far away."
182,Bellossom,[grass],4.00,58.00,"[healer, chlorophyll]",[plant],Flower Pokemon,"A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloomâ€the more stinky the better. At night, this
Pokemon closes its petals and goes to sleep."
183,Marill,"[fairy, water]",4.00,85.00,"[sap-sipper, huge-power, thick-fat]","[fairy, water1]",Aqua Mouse Pokemon,"When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokemon's
tail is flexible and configured to stretch."
184,Azumarill,"[fairy, water]",8.00,285.00,"[sap-sipper, huge-power, thick-fat]","[fairy, water1]",Aqua Rabbit Pokemon,"Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokemon. The air balloons
enable the Pokemon in trouble to breathe."
185,Sudowoodo,[rock],12.00,380.00,"[rattled, rock-head, sturdy]",[mineral],Imitation Pokemon,"Apparently, the larger the green parts of this
Pokemon, the more collectors value it. It's a
particular favorite among elderly people."
186,Politoed,[water],11.00,339.00,"[drizzle, damp, water-absorb]",[water1],Frog Pokemon,"It's the leader of Poliwag and Poliwhirl.
When Politoed roars, they all cower in fear."
187,Hoppip,"[flying, grass]",4.00,5.00,"[infiltrator, leaf-guard, chlorophyll]","[plant, fairy]",Cottonweed Pokemon,"This Pokemon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away."
188,Skiploom,"[flying, grass]",6.00,10.00,"[infiltrator, leaf-guard, chlorophyll]","[plant, fairy]",Cottonweed Pokemon,"Skiploom's flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokemon
is sometimes used as a thermometer."
189,Jumpluff,"[flying, grass]",8.00,30.00,"[infiltrator, leaf-guard, chlorophyll]","[plant, fairy]",Cottonweed Pokemon,"Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokemon descends to the ground when it
encounters cold air while it is floating."
190,Aipom,[normal],8.00,115.00,"[skill-link, pickup, run-away]",[ground],Long Tail Pokemon,"Aipom's tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the Pokemon uses its tail so
much, its real hands have become rather clumsy."
191,Sunkern,[grass],3.00,18.00,"[early-bird, solar-power, chlorophyll]",[plant],Seed Pokemon,"Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew."
192,Sunflora,[grass],8.00,85.00,"[early-bird, solar-power, chlorophyll]",[plant],Sun Pokemon,"Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night."
193,Yanma,"[flying, bug]",12.00,380.00,"[frisk, compound-eyes, speed-boost]",[bug],Clear Wing Pokemon,"Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokemon uses its flying ability
to quickly chase down targeted prey."
194,Wooper,"[ground, water]",4.00,85.00,"[unaware, water-absorb, damp]","[ground, water1]",Water Fish Pokemon,"Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film."
195,Quagsire,"[ground, water]",14.00,750.00,"[unaware, water-absorb, damp]","[ground, water1]",Water Fish Pokemon,"Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokemon does not move, it does not get very hungry."
196,Espeon,[psychic],9.00,265.00,"[magic-bounce, synchronize]",[ground],Sun Pokemon,"It unleashes psychic power from the orb on its
forehead. When its power is exhausted, the orb
grows dull and dark."
197,Umbreon,[dark],10.00,270.00,"[inner-focus, synchronize]",[ground],Moonlight Pokemon,"With its black fur, it blends into the darkness.
It bides its time, and when prey appears, this
Pokemon goes for its throat, and then eats it."
198,Murkrow,"[flying, dark]",5.00,21.00,"[prankster, super-luck, insomnia]",[flying],Darkness Pokemon,"Seen as a symbol of bad luck, it's generally
disliked. Yet it gives presentsâ€objects that
sparkle or shineâ€to Trainers it's close to."
199,Slowking,"[psychic, water]",20.00,795.00,"[regenerator, own-tempo, oblivious]","[water1, monster]",Royal Pokemon,"This Pokemon is so famed for its intellect that a
proverb still persists in some regions: â€œWhen in
doubt, ask Slowking.â€"
200,Misdreavus,[ghost],7.00,10.00,[levitate],[indeterminate],Screech Pokemon,"If you hear a sobbing sound emanating from a
vacant room, it's undoubtedly a bit of mischief
from Misdreavus."
201,Unown,[psychic],5.00,50.00,[levitate],[no-eggs],Symbol Pokemon,"This Pokemon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known."
202,Wobbuffet,[psychic],13.00,285.00,"[telepathy, shadow-tag]",[indeterminate],Patient Pokemon,"Wobbuffet does nothing but endure attacksâ€it won't attack on
its own. However, it won't endure an attack on its tail. When
that happens, the Pokemon will try to take the foe with it using
Destiny Bond."
203,Girafarig,"[psychic, normal]",15.00,415.00,"[sap-sipper, early-bird, inner-focus]",[ground],Long Neck Pokemon,"Girafarig's rear head contains a tiny brain that is too small for
thinking. However, the rear head doesn't need to sleep, so it
can keep watch over its surroundings 24 hours a day."
204,Pineco,[bug],6.00,72.00,"[overcoat, sturdy]",[bug],Bagworm Pokemon,"Pineco hangs from a tree branch and patiently waits for prey to
come along. If the Pokemon is disturbed while eating by
someone shaking its tree, it drops down to the ground and
explodes with no warning."
205,Forretress,"[steel, bug]",12.00,1258.00,"[overcoat, sturdy]",[bug],Bagworm Pokemon,"Forretress conceals itself inside its hardened steel shell.
The shell is opened when the Pokemon is catching prey,
but it does so at such a quick pace that the shell's inside
cannot be seen."
206,Dunsparce,[normal],15.00,140.00,"[rattled, run-away, serene-grace]",[ground],Land Snake Pokemon,"Dunsparce has a drill for its tail. It uses this tail to burrow into
the ground backward. This Pokemon is known to make its
nest in complex shapes deep under the ground."
207,Gligar,"[flying, ground]",11.00,648.00,"[immunity, sand-veil, hyper-cutter]",[bug],Fly Scorpion Pokemon,"Gligar glides through the air without a sound as if it were
sliding. This Pokemon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb."
208,Steelix,"[ground, steel]",92.00,4000.00,"[sheer-force, sturdy, rock-head]",[mineral],Iron Snake Pokemon,"Steelix lives even further underground than Onix.
This Pokemon is known to dig toward the earth's core.
There are records of this Pokemon reaching a depth of
over six-tenths of a mile underground."
209,Snubbull,[fairy],6.00,78.00,"[rattled, run-away, intimidate]","[fairy, ground]",Fairy Pokemon,"Its growls make its opponents uneasy. This
laid-back Pokemon tends to sleep half the day."
210,Granbull,[fairy],14.00,487.00,"[rattled, quick-feet, intimidate]","[fairy, ground]",Fairy Pokemon,"More timid than Snubbull, this Pokemon is doted
on by young people amused at the contrast
between its looks and its attitude."
211,Qwilfish,"[poison, water]",5.00,39.00,"[intimidate, swift-swim, poison-point]",[water2],Balloon Pokemon,"Qwilfish sucks in water, inflating itself. This Pokemon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging."
212,Scizor,"[steel, bug]",18.00,1180.00,"[light-metal, technician, swarm]",[bug],Pincer Pokemon,"Once it has identified an enemy, this Pokemon
smashes it mercilessly with pincers hard
as steel."
213,Shuckle,"[rock, bug]",6.00,205.00,"[contrary, gluttony, sturdy]",[bug],Mold Pokemon,"Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice."
214,Heracross,"[fighting, bug]",15.00,540.00,"[moxie, guts, swarm]",[bug],Single Horn Pokemon,"Heracross has sharp claws on its feet. These are planted
firmly into the ground or the bark of a tree, giving the
Pokemon a secure and solid footing to forcefully fling away
foes with its proud horn."
215,Sneasel,"[ice, dark]",9.00,280.00,"[pickpocket, keen-eye, inner-focus]",[ground],Sharp Claw Pokemon,"It uses its claws to poke holes in eggs so it can
slurp out the insides. Breeders consider it a
scourge and will drive it away or eradicate it."
216,Teddiursa,[normal],6.00,88.00,"[honey-gather, quick-feet, pickup]",[ground],Little Bear Pokemon,"This Pokemon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill."
217,Ursaring,[normal],18.00,1258.00,"[unnerve, quick-feet, guts]",[ground],Hibernator Pokemon,"In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food. This
Pokemon walks through its forest gathering food every day."
218,Slugma,[fire],7.00,350.00,"[weak-armor, flame-body, magma-armor]",[indeterminate],Lava Pokemon,"Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokemon's body,
carrying essential nutrients and oxygen to its organs."
219,Magcargo,"[rock, fire]",8.00,550.00,"[weak-armor, flame-body, magma-armor]",[indeterminate],Lava Pokemon,"Magcargo's body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokemon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog."
220,Swinub,"[ground, ice]",4.00,65.00,"[thick-fat, snow-cloak, oblivious]",[ground],Pig Pokemon,"Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokemon occasionally roots out hot springs."
221,Piloswine,"[ground, ice]",11.00,558.00,"[thick-fat, snow-cloak, oblivious]",[ground],Swine Pokemon,"Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokemon uses its tusks to
dig up food that has been buried under ice."
222,Corsola,"[rock, water]",6.00,50.00,"[regenerator, natural-cure, hustle]","[water3, water1]",Coral Pokemon,"Pursued by Mareanie for the branches on its
head, this Pokemon will sometimes snap its own
branches off as a diversion while it escapes."
223,Remoraid,[water],6.00,120.00,"[moody, sniper, hustle]","[water2, water1]",Jet Pokemon,"Remoraid sucks in water, then expels it at high velocity using
its abdominal muscles to shoot down flying prey. When
evolution draws near, this Pokemon travels downstream
from rivers."
224,Octillery,[water],9.00,285.00,"[moody, sniper, suction-cups]","[water2, water1]",Jet Pokemon,"Octillery grabs onto its foe using its tentacles. This Pokemon
tries to immobilize it before delivering the finishing blow. If the
foe turns out to be too strong, Octillery spews ink to escape."
225,Delibird,"[flying, ice]",9.00,160.00,"[insomnia, hustle, vital-spirit]","[ground, water1]",Delivery Pokemon,"It has a generous habit of sharing its food with
people and Pokemon, so it's always scrounging
around for more food."
226,Mantine,"[flying, water]",21.00,2200.00,"[water-veil, water-absorb, swift-swim]",[water1],Kite Pokemon,"On sunny days, schools of Mantine can be seen elegantly
leaping over the sea's waves. This Pokemon is not bothered
by the Remoraid that hitches rides."
227,Skarmory,"[flying, steel]",17.00,505.00,"[weak-armor, sturdy, keen-eye]",[flying],Armor Bird Pokemon,"Its metal body is sturdy, but it does rust rather
easily. So on rainy days, this Pokemon prefers
to stay put in its nest."
228,Houndour,"[fire, dark]",6.00,108.00,"[unnerve, flash-fire, early-bird]",[ground],Dark Pokemon,"Houndour hunt as a coordinated pack. They communicate
with each other using a variety of cries to corner their prey.
This Pokemon's remarkable teamwork is unparalleled."
229,Houndoom,"[fire, dark]",14.00,350.00,"[unnerve, flash-fire, early-bird]",[ground],Dark Pokemon,"In a Houndoom pack, the one with its horns raked sharply
toward the back serves a leadership role. These Pokemon
choose their leader by fighting among themselves."
230,Kingdra,"[dragon, water]",18.00,1520.00,"[damp, sniper, swift-swim]","[dragon, water1]",Dragon Pokemon,"Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokemon is said to awaken
and wander about in search of prey."
231,Phanpy,[ground],5.00,335.00,"[sand-veil, pickup]",[ground],Long Nose Pokemon,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokemon can be seen drying their soaking-wet
bodies at the edge of water."
232,Donphan,[ground],11.00,1200.00,"[sand-veil, sturdy]",[ground],Armor Pokemon,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokemon
helps clear rock and mud slides that block mountain trails."
233,Porygon2,[normal],6.00,325.00,"[analytic, download, trace]",[mineral],Virtual Pokemon,"Porygon was updated to a new version in
readiness for planetary development. But that
dream remains unrealized as yet."
234,Stantler,[normal],14.00,712.00,"[sap-sipper, frisk, intimidate]",[ground],Big Horn Pokemon,"Stantler's magnificent antlers were traded at high prices as
works of art. As a result, this Pokemon was hunted close to
extinction by those who were after the priceless antlers."
235,Smeargle,[normal],12.00,580.00,"[moody, technician, own-tempo]",[ground],Painter Pokemon,"It draws symbols all over the place to mark its
territory. In towns with many Smeargle, the walls
are covered in graffiti."
236,Tyrogue,[fighting],7.00,210.00,"[vital-spirit, steadfast, guts]",[no-eggs],Scuffle Pokemon,"Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokemon, the Trainer must establish
and uphold various training methods."
237,Hitmontop,[fighting],14.00,480.00,"[steadfast, technician, intimidate]",[humanshape],Handstand Pokemon,"Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokemon travels
faster spinning than it does walking."
238,Smoochum,"[psychic, ice]",4.00,60.00,"[hydration, forewarn, oblivious]",[no-eggs],Kiss Pokemon,"Smoochum actively runs about, but also falls quite often.
Whenever the chance arrives, it will look for its reflection to
make sure its face hasn't become dirty."
239,Elekid,[electric],6.00,235.00,"[vital-spirit, static]",[no-eggs],Electric Pokemon,"This Pokemon is constantly fighting with
Togedemaru that try to steal its electricity.
It's a pretty even match."
240,Magby,[fire],7.00,214.00,"[vital-spirit, flame-body]",[no-eggs],Live Coal Pokemon,"A famous potter lives with a Magby.
Apparently its soft flames produce fine works."
241,Miltank,[normal],12.00,755.00,"[sap-sipper, scrappy, thick-fat]",[ground],Milk Cow Pokemon,"Most people raise it for its milk, but it's quite
tough and strong, so it's also well suited
for battle."
242,Blissey,[normal],15.00,468.00,"[healer, serene-grace, natural-cure]",[fairy],Happiness Pokemon,"Its fluffy fur coat acts as a sensor, enabling it to
read the feelings of people and Pokemon."
243,Raikou,[electric],19.00,1780.00,"[inner-focus, pressure]",[no-eggs],Thunder Pokemon,"Raikou embodies the speed of lightning. The roars of
this Pokemon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down."
244,Entei,[fire],21.00,1980.00,"[inner-focus, pressure]",[no-eggs],Volcano Pokemon,"Entei embodies the passion of magma. This Pokemon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch."
245,Suicune,[water],20.00,1870.00,"[inner-focus, pressure]",[no-eggs],Aurora Pokemon,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokemon has
the power to purify dirty water."
246,Larvitar,"[ground, rock]",6.00,720.00,"[sand-veil, guts]",[monster],Rock Skin Pokemon,"Larvitar is born deep under the ground. To come up to the
surface, this Pokemon must eat its way through the soil above.
Until it does so, Larvitar cannot see its parents."
247,Pupitar,"[ground, rock]",12.00,1520.00,[shed-skin],[monster],Hard Shell Pokemon,"Pupitar creates a gas inside its body that it compresses and
forcefully ejects to propel itself like a jet. The body is very
durableâ€it avoids damage even if it hits solid steel."
248,Tyranitar,"[dark, rock]",20.00,2020.00,"[unnerve, sand-stream]",[monster],Armor Pokemon,"Tyranitar is so overwhelmingly powerful, it can bring down a
whole mountain to make its nest. This Pokemon wanders about
in mountains seeking new opponents to fight."
249,Lugia,"[flying, psychic]",52.00,2160.00,"[multiscale, pressure]",[no-eggs],Diving Pokemon,"Lugia's wings pack devastating powerâ€a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokemon chooses to live out of sight deep under the sea."
250,Ho-Oh,"[flying, fire]",38.00,1990.00,"[regenerator, pressure]",[no-eggs],Rainbow Pokemon,"Ho-Oh's feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokemon is said to live at
the foot of a rainbow."
251,Celebi,"[grass, psychic]",6.00,50.00,[natural-cure],[no-eggs],Time Travel Pokemon,"This Pokemon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us."
