id,name,height,weight,genus,description
169,Crobat,18.00,750.00,Bat Pokemon,"Silent and swift in its four-winged flight, it bites
down on its prey before they realize whatâ€™s
happening. In a heartbeat, it drains their blood."
170,Chinchou,5.00,120.00,Angler Pokemon,"It lives in the depths beyond the reach of
sunlight. It flashes lights on its antennae
to communicate with others of its kind."
171,Lanturn,12.00,225.00,Light Pokemon,"This Pokemon flashes a bright light that blinds
its prey. This creates an opening for it to deliver
an electrical attack."
172,Pichu,3.00,20.00,Tiny Mouse Pokemon,"Despite this Pokemonâ€™s cute appearance, those
who want to live with one should prepare to be
on the receiving end of its electric jolts."
173,Cleffa,3.00,30.00,Star Shape Pokemon,"Because of its silhouette, itâ€™s believed to be a
star reborn. For some reason, it loves Minior."
174,Igglybuff,3.00,10.00,Balloon Pokemon,"It moves by bouncing along. As it moves a lot,
it sweats, and its body gives off a sweet aroma."
175,Togepi,3.00,15.00,Spike Ball Pokemon,"As its energy, Togepi uses the positive emotions of
compassion and pleasure exuded by people and Pokemon.
This Pokemon stores up feelings of happiness inside its shell,
then shares them with others."
176,Togetic,6.00,32.00,Happiness Pokemon,"Togetic is said to be a Pokemon that brings good fortune.
When the Pokemon spots someone who is pure of heart,
it is said to appear and share its happiness with that person."
177,Natu,2.00,20.00,Tiny Bird Pokemon,"Natu has a highly developed jumping ability. The Pokemon
flaps and leaps onto tree branches that are taller than
grown-up people to pick at the treeâ€™s new shoots."
178,Xatu,15.00,150.00,Mystic Pokemon,"Xatu is known to stand motionless while staring at the sun all
day long. Some people revere it as a mystical Pokemon out of
their belief that Xatu is in possession of the power to see into
the future."
179,Mareep,6.00,78.00,Wool Pokemon,"Mareepâ€™s fluffy coat of wool rubs together and builds a static
charge. The more static electricity is charged, the more brightly
the lightbulb at the tip of its tail glows."
180,Flaaffy,8.00,133.00,Wool Pokemon,"Flaaffyâ€™s wool quality changes so that it can generate
a high amount of static electricity with a small amount of
wool. The bare and slick parts of its hide are shielded
against electricity."
181,Ampharos,14.00,615.00,Light Pokemon,"Ampharos gives off so much light that it can be seen even from
space. People in the old days used the light of this Pokemon
to send signals back and forth with others far away."
182,Bellossom,4.00,58.00,Flower Pokemon,"A Bellossom grows flowers more beautifully if it has evolved
from a smelly Gloomâ€”the more stinky the better. At night, this
Pokemon closes its petals and goes to sleep."
183,Marill,4.00,85.00,Aqua Mouse Pokemon,"When fishing for food at the edge of a fast-running stream,
Marill wraps its tail around the trunk of a tree. This Pokemonâ€™s
tail is flexible and configured to stretch."
184,Azumarill,8.00,285.00,Aqua Rabbit Pokemon,"Azumarill can make balloons out of air. It makes these air
balloons if it spots a drowning Pokemon. The air balloons
enable the Pokemon in trouble to breathe."
185,Sudowoodo,12.00,380.00,Imitation Pokemon,"Apparently, the larger the green parts of this
Pokemon, the more collectors value it. Itâ€™s a
particular favorite among elderly people."
186,Politoed,11.00,339.00,Frog Pokemon,"Itâ€™s the leader of Poliwag and Poliwhirl.
When Politoed roars, they all cower in fear."
187,Hoppip,4.00,5.00,Cottonweed Pokemon,"This Pokemon drifts and floats with the wind. If it senses the
approach of strong winds, Hoppip links its leaves with other
Hoppip to prepare against being blown away."
188,Skiploom,6.00,10.00,Cottonweed Pokemon,"Skiploomâ€™s flower blossoms when the temperature rises
above 64 degrees Fahrenheit. How much the flower opens
depends on the temperature. For that reason, this Pokemon
is sometimes used as a thermometer."
189,Jumpluff,8.00,30.00,Cottonweed Pokemon,"Jumpluff rides warm southern winds to cross the sea and fly to
foreign lands. The Pokemon descends to the ground when it
encounters cold air while it is floating."
190,Aipom,8.00,115.00,Long Tail Pokemon,"Aipomâ€™s tail ends in a hand-like appendage that can be cleverly
manipulated. However, because the Pokemon uses its tail so
much, its real hands have become rather clumsy."
191,Sunkern,3.00,18.00,Seed Pokemon,"Sunkern tries to move as little as it possibly can. It does so
because it tries to conserve all the nutrients it has stored in its
body for its evolution. It will not eat a thing, subsisting only on
morning dew."
192,Sunflora,8.00,85.00,Sun Pokemon,"Sunflora converts solar energy into nutrition. It moves around
actively in the daytime when it is warm. It stops moving as
soon as the sun goes down for the night."
193,Yanma,12.00,380.00,Clear Wing Pokemon,"Yanma is capable of seeing 360 degrees without having to
move its eyes. It is a great flier that is adept at making sudden
stops and turning midair. This Pokemon uses its flying ability
to quickly chase down targeted prey."
194,Wooper,4.00,85.00,Water Fish Pokemon,"Wooper usually lives in water. However, it occasionally comes
out onto land in search of food. On land, it coats its body with
a gooey, toxic film."
195,Quagsire,14.00,750.00,Water Fish Pokemon,"Quagsire hunts for food by leaving its mouth wide open in
water and waiting for its prey to blunder in unaware. Because
the Pokemon does not move, it does not get very hungry."
196,Espeon,9.00,265.00,Sun Pokemon,"It unleashes psychic power from the orb on its
forehead. When its power is exhausted, the orb
grows dull and dark."
197,Umbreon,10.00,270.00,Moonlight Pokemon,"With its black fur, it blends into the darkness.
It bides its time, and when prey appears, this
Pokemon goes for its throat, and then eats it."
198,Murkrow,5.00,21.00,Darkness Pokemon,"Seen as a symbol of bad luck, itâ€™s generally
disliked. Yet it gives presentsâ€”objects that
sparkle or shineâ€”to Trainers itâ€™s close to."
199,Slowking,20.00,795.00,Royal Pokemon,"This Pokemon is so famed for its intellect that a
proverb still persists in some regions: â€œWhen in
doubt, ask Slowking.â€"
200,Misdreavus,7.00,10.00,Screech Pokemon,"If you hear a sobbing sound emanating from a
vacant room, itâ€™s undoubtedly a bit of mischief
from Misdreavus."
201,Unown,5.00,50.00,Symbol Pokemon,"This Pokemon is shaped like ancient writing. It is a mystery as
to which came first, the ancient writings or the various Unown.
Research into this topic is ongoing but nothing is known."
202,Wobbuffet,13.00,285.00,Patient Pokemon,"Wobbuffet does nothing but endure attacksâ€”it wonâ€™t attack on
its own. However, it wonâ€™t endure an attack on its tail. When
that happens, the Pokemon will try to take the foe with it using
Destiny Bond."
203,Girafarig,15.00,415.00,Long Neck Pokemon,"Girafarigâ€™s rear head contains a tiny brain that is too small for
thinking. However, the rear head doesnâ€™t need to sleep, so it
can keep watch over its surroundings 24 hours a day."
204,Pineco,6.00,72.00,Bagworm Pokemon,"Pineco hangs from a tree branch and patiently waits for prey to
come along. If the Pokemon is disturbed while eating by
someone shaking its tree, it drops down to the ground and
explodes with no warning."
205,Forretress,12.00,1258.00,Bagworm Pokemon,"Forretress conceals itself inside its hardened steel shell.
The shell is opened when the Pokemon is catching prey,
but it does so at such a quick pace that the shellâ€™s inside
cannot be seen."
206,Dunsparce,15.00,140.00,Land Snake Pokemon,"Dunsparce has a drill for its tail. It uses this tail to burrow into
the ground backward. This Pokemon is known to make its
nest in complex shapes deep under the ground."
207,Gligar,11.00,648.00,Fly Scorpion Pokemon,"Gligar glides through the air without a sound as if it were
sliding. This Pokemon hangs on to the face of its foe using
its clawed hind legs and the large pincers on its forelegs, then
injects the prey with its poison barb."
208,Steelix,92.00,4000.00,Iron Snake Pokemon,"Steelix lives even further underground than Onix.
This Pokemon is known to dig toward the earthâ€™s core.
There are records of this Pokemon reaching a depth of
over six-tenths of a mile underground."
209,Snubbull,6.00,78.00,Fairy Pokemon,"Its growls make its opponents uneasy. This
laid-back Pokemon tends to sleep half the day."
210,Granbull,14.00,487.00,Fairy Pokemon,"More timid than Snubbull, this Pokemon is doted
on by young people amused at the contrast
between its looks and its attitude."
211,Qwilfish,5.00,39.00,Balloon Pokemon,"Qwilfish sucks in water, inflating itself. This Pokemon
uses the pressure of the water it swallowed to shoot toxic
quills all at once from all over its body. It finds swimming
somewhat challenging."
212,Scizor,18.00,1180.00,Pincer Pokemon,"Once it has identified an enemy, this Pokemon
smashes it mercilessly with pincers hard
as steel."
213,Shuckle,6.00,205.00,Mold Pokemon,"Shuckle quietly hides itself under rocks, keeping its body
concealed inside its hard shell while eating berries it has
stored away. The berries mix with its body fluids to become
a juice."
214,Heracross,15.00,540.00,Single Horn Pokemon,"Heracross has sharp claws on its feet. These are planted
firmly into the ground or the bark of a tree, giving the
Pokemon a secure and solid footing to forcefully fling away
foes with its proud horn."
215,Sneasel,9.00,280.00,Sharp Claw Pokemon,"It uses its claws to poke holes in eggs so it can
slurp out the insides. Breeders consider it a
scourge and will drive it away or eradicate it."
216,Teddiursa,6.00,88.00,Little Bear Pokemon,"This Pokemon likes to lick its palms that are sweetened by
being soaked in honey. Teddiursa concocts its own honey
by blending fruits and pollen collected by Beedrill."
217,Ursaring,18.00,1258.00,Hibernator Pokemon,"In the forests inhabited by Ursaring, it is said that there are
many streams and towering trees where they gather food. This
Pokemon walks through its forest gathering food every day."
218,Slugma,7.00,350.00,Lava Pokemon,"Slugma does not have any blood in its body. Instead, intensely
hot magma circulates throughout this Pokemonâ€™s body,
carrying essential nutrients and oxygen to its organs."
219,Magcargo,8.00,550.00,Lava Pokemon,"Magcargoâ€™s body temperature is approximately
18,000 degrees Fahrenheit. Water is vaporized on contact.
If this Pokemon is caught in the rain, the raindrops instantly
turn into steam, cloaking the area in a thick fog."
220,Swinub,4.00,65.00,Pig Pokemon,"Swinub roots for food by rubbing its snout against the ground.
Its favorite food is a mushroom that grows under the cover of
dead grass. This Pokemon occasionally roots out hot springs."
221,Piloswine,11.00,558.00,Swine Pokemon,"Piloswine is covered by a thick coat of long hair that enables
it to endure the freezing cold. This Pokemon uses its tusks to
dig up food that has been buried under ice."
222,Corsola,6.00,50.00,Coral Pokemon,"Pursued by Mareanie for the branches on its
head, this Pokemon will sometimes snap its own
branches off as a diversion while it escapes."
223,Remoraid,6.00,120.00,Jet Pokemon,"Remoraid sucks in water, then expels it at high velocity using
its abdominal muscles to shoot down flying prey. When
evolution draws near, this Pokemon travels downstream
from rivers."
224,Octillery,9.00,285.00,Jet Pokemon,"Octillery grabs onto its foe using its tentacles. This Pokemon
tries to immobilize it before delivering the finishing blow. If the
foe turns out to be too strong, Octillery spews ink to escape."
225,Delibird,9.00,160.00,Delivery Pokemon,"It has a generous habit of sharing its food with
people and Pokemon, so itâ€™s always scrounging
around for more food."
226,Mantine,21.00,2200.00,Kite Pokemon,"On sunny days, schools of Mantine can be seen elegantly
leaping over the seaâ€™s waves. This Pokemon is not bothered
by the Remoraid that hitches rides."
227,Skarmory,17.00,505.00,Armor Bird Pokemon,"Its metal body is sturdy, but it does rust rather
easily. So on rainy days, this Pokemon prefers
to stay put in its nest."
228,Houndour,6.00,108.00,Dark Pokemon,"Houndour hunt as a coordinated pack. They communicate
with each other using a variety of cries to corner their prey.
This Pokemonâ€™s remarkable teamwork is unparalleled."
229,Houndoom,14.00,350.00,Dark Pokemon,"In a Houndoom pack, the one with its horns raked sharply
toward the back serves a leadership role. These Pokemon
choose their leader by fighting among themselves."
230,Kingdra,18.00,1520.00,Dragon Pokemon,"Kingdra sleeps on the seafloor where it is otherwise devoid
of life. When a storm arrives, the Pokemon is said to awaken
and wander about in search of prey."
231,Phanpy,5.00,335.00,Long Nose Pokemon,"Phanpy uses its long nose to shower itself. When others
gather around, they thoroughly douse each other with water.
These Pokemon can be seen drying their soaking-wet
bodies at the edge of water."
232,Donphan,11.00,1200.00,Armor Pokemon,"If Donphan were to tackle with its hard body, even a house
could be destroyed. Using its massive strength, the Pokemon
helps clear rock and mud slides that block mountain trails."
233,Porygon2,6.00,325.00,Virtual Pokemon,"Porygon was updated to a new version in
readiness for planetary development. But that
dream remains unrealized as yet."
234,Stantler,14.00,712.00,Big Horn Pokemon,"Stantlerâ€™s magnificent antlers were traded at high prices as
works of art. As a result, this Pokemon was hunted close to
extinction by those who were after the priceless antlers."
235,Smeargle,12.00,580.00,Painter Pokemon,"It draws symbols all over the place to mark its
territory. In towns with many Smeargle, the walls
are covered in graffiti."
236,Tyrogue,7.00,210.00,Scuffle Pokemon,"Tyrogue becomes stressed out if it does not get to train every
day. When raising this Pokemon, the Trainer must establish
and uphold various training methods."
237,Hitmontop,14.00,480.00,Handstand Pokemon,"Hitmontop spins on its head at high speed, all the while
delivering kicks. This technique is a remarkable mix of both
offense and defense at the same time. The Pokemon travels
faster spinning than it does walking."
238,Smoochum,4.00,60.00,Kiss Pokemon,"Smoochum actively runs about, but also falls quite often.
Whenever the chance arrives, it will look for its reflection to
make sure its face hasnâ€™t become dirty."
239,Elekid,6.00,235.00,Electric Pokemon,"This Pokemon is constantly fighting with
Togedemaru that try to steal its electricity.
Itâ€™s a pretty even match."
240,Magby,7.00,214.00,Live Coal Pokemon,"A famous potter lives with a Magby.
Apparently its soft flames produce fine works."
241,Miltank,12.00,755.00,Milk Cow Pokemon,"Most people raise it for its milk, but itâ€™s quite
tough and strong, so itâ€™s also well suited
for battle."
242,Blissey,15.00,468.00,Happiness Pokemon,"Its fluffy fur coat acts as a sensor, enabling it to
read the feelings of people and Pokemon."
243,Raikou,19.00,1780.00,Thunder Pokemon,"Raikou embodies the speed of lightning. The roars of
this Pokemon send shock waves shuddering through the
air and shake the ground as if lightning bolts had come
crashing down."
244,Entei,21.00,1980.00,Volcano Pokemon,"Entei embodies the passion of magma. This Pokemon is
thought to have been born in the eruption of a volcano.
It sends up massive bursts of fire that utterly consume all
that they touch."
245,Suicune,20.00,1870.00,Aurora Pokemon,"Suicune embodies the compassion of a pure spring of water.
It runs across the land with gracefulness. This Pokemon has
the power to purify dirty water."
246,Larvitar,6.00,720.00,Rock Skin Pokemon,"Larvitar is born deep under the ground. To come up to the
surface, this Pokemon must eat its way through the soil above.
Until it does so, Larvitar cannot see its parents."
247,Pupitar,12.00,1520.00,Hard Shell Pokemon,"Pupitar creates a gas inside its body that it compresses and
forcefully ejects to propel itself like a jet. The body is very
durableâ€”it avoids damage even if it hits solid steel."
248,Tyranitar,20.00,2020.00,Armor Pokemon,"Tyranitar is so overwhelmingly powerful, it can bring down a
whole mountain to make its nest. This Pokemon wanders about
in mountains seeking new opponents to fight."
249,Lugia,52.00,2160.00,Diving Pokemon,"Lugiaâ€™s wings pack devastating powerâ€”a light fluttering of its
wings can blow apart regular houses. As a result, this
Pokemon chooses to live out of sight deep under the sea."
250,Ho-Oh,38.00,1990.00,Rainbow Pokemon,"Ho-Ohâ€™s feathers glow in seven colors depending on the angle
at which they are struck by light. These feathers are said to
bring happiness to the bearers. This Pokemon is said to live at
the foot of a rainbow."
251,Celebi,6.00,50.00,Time Travel Pokemon,"This Pokemon came from the future by crossing over time.
It is thought that so long as Celebi appears, a bright and
shining future awaits us."
252,Treecko,5.00,50.00,Wood Gecko Pokemon,"Treecko is cool, calm, and collectedâ€”it never panics under
any situation. If a bigger foe were to glare at this Pokemon,
it would glare right back without conceding an inch of ground."
253,Grovyle,9.00,216.00,Wood Gecko Pokemon,"This Pokemon adeptly flies from branch to branch in trees.
In a forest, no Pokemon can ever hope to catch a fleeing
Grovyle however fast they may be."
254,Sceptile,17.00,522.00,Forest Pokemon,"Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokemon
raises the trees in a forest with loving care."
255,Torchic,4.00,25.00,Chick Pokemon,"Torchic has a place inside its body where it keeps its flame.
Give it a hugâ€”it will be glowing with warmth. This Pokemon is
covered all over by a fluffy coat of down."
256,Combusken,9.00,195.00,Young Fowl Pokemon,"Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokemonâ€™s cry is very loud and distracting."
257,Blaziken,19.00,520.00,Blaze Pokemon,"Blaziken has incredibly strong legsâ€”it can easily clear a
30-story building in one leap. This Pokemonâ€™s blazing punches
leave its foes scorched and blackened."
258,Mudkip,4.00,76.00,Mud Fish Pokemon,"In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokemon will unleash
its amazing powerâ€”it can crush rocks bigger than itself."
259,Marshtomp,7.00,280.00,Mud Fish Pokemon,"Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokemonâ€™s hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs."
260,Swampert,15.00,819.00,Mud Fish Pokemon,"Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself."
261,Poochyena,5.00,136.00,Bite Pokemon,"Poochyena is an omnivoreâ€”it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokemon tries to intimidate its foes by making the hair on its
tail bristle out."
262,Mightyena,10.00,370.00,Bite Pokemon,"Mightyena travel and act as a pack in the wild. The memory
of its life in the wild compels the Pokemon to obey only
those Trainers that it recognizes to possess superior skill."
263,Zigzagoon,4.00,175.00,Tiny Raccoon Pokemon,"The hair on Zigzagoonâ€™s back is bristly. It rubs the hard back
hair against trees to leave its territorial markings. This Pokemon
may play dead to fool foes in battle."
264,Linoone,5.00,325.00,Rushing Pokemon,"When hunting, Linoone will make a beeline straight for the
prey at a full run. While this Pokemon is capable of topping
60 mph, it has to come to a screeching halt before it can turn."
265,Wurmple,3.00,36.00,Worm Pokemon,"Wurmple is targeted by Swellow as prey. This Pokemon
will try to resist by pointing the spikes on its rear at the
attacking predator. It will weaken the foe by leaking poison
from the spikes."
266,Silcoon,6.00,100.00,Cocoon Pokemon,"Silcoon was thought to endure hunger and not consume
anything before its evolution. However, it is now thought
that this Pokemon slakes its thirst by drinking rainwater
that collects on its silk."
267,Beautifly,10.00,284.00,Butterfly Pokemon,"Beautifly has a long mouth like a coiled needle, which is very
convenient for collecting pollen from flowers. This Pokemon
rides the spring winds as it flits around gathering pollen."
268,Cascoon,7.00,115.00,Cocoon Pokemon,"If it is attacked, Cascoon remains motionless however badly it
may be hurt. It does so because if it were to move, its body
would be weak upon evolution. This Pokemon will also not
forget the pain it endured."
269,Dustox,12.00,316.00,Poison Moth Pokemon,"When Dustox flaps its wings, a fine dust is scattered all over.
This dust is actually a powerful poison that will even make a
pro wrestler sick. This Pokemon searches for food using its
antennae like radar."
270,Lotad,5.00,26.00,Water Weed Pokemon,"Lotad is said to have dwelled on land before. However, this
Pokemon is thought to have returned to water because the
leaf on its head grew large and heavy. It now lives by floating
atop the water."
271,Lombre,12.00,325.00,Jolly Pokemon,"Lombreâ€™s entire body is covered by a slippery, slimy film.
It feels horribly unpleasant to be touched by this Pokemonâ€™s
hands. Lombre is often mistaken for a human child."
272,Ludicolo,15.00,550.00,Carefree Pokemon,"Upon hearing an upbeat and cheerful rhythm, the cells in
Ludicoloâ€™s body become very energetic and active. Even
in battle, this Pokemon will exhibit an amazing amount
of power."
273,Seedot,5.00,40.00,Acorn Pokemon,"Seedot looks exactly like an acorn when it is dangling from a
tree branch. It startles other Pokemon by suddenly moving.
This Pokemon polishes its body once a day using leaves."
274,Nuzleaf,10.00,280.00,Wily Pokemon,"This Pokemon pulls out the leaf on its head and makes a flute
with it. The sound of Nuzleafâ€™s flute strikes fear and uncertainty
in the hearts of people lost in a forest."
275,Shiftry,13.00,596.00,Wicked Pokemon,"Shiftryâ€™s large fans generate awesome gusts of wind at a
speed close to 100 feet per second. The whipped-up wind
blows anything away. This Pokemon chooses to live quietly
deep in forests."
276,Taillow,3.00,23.00,Tiny Swallow Pokemon,"Taillow is youngâ€”it has only just left its nest. As a result,
it sometimes becomes lonesome and cries at night.
This Pokemon feeds on Wurmple that live in forests."
277,Swellow,7.00,198.00,Swallow Pokemon,"Swellow is very conscientious about the upkeep of its glossy
wings. Once two Swellow are gathered, they diligently take
care of cleaning each otherâ€™s wings."
278,Wingull,6.00,95.00,Seagull Pokemon,"Fishermen keep an eye out for Wingull in the
sky, because wherever theyâ€™re circling, the
ocean is sure to be teeming with fish Pokemon."
279,Pelipper,12.00,280.00,Water Bird Pokemon,"Gathering food is the work of young males.
They store food in their capacious beaks and
carry it back to others waiting in the nest."
280,Ralts,4.00,66.00,Feeling Pokemon,"Ralts has the ability to sense the emotions of people. If its
Trainer is in a cheerful mood, this Pokemon grows cheerful
and joyous in the same way."
281,Kirlia,8.00,202.00,Emotion Pokemon,"Kirlia uses the horns on its head to amplify its psychokinetic
power. When the Pokemon uses its power, the air around it
becomes distorted, creating mirages of nonexistent scenery."
282,Gardevoir,16.00,484.00,Embrace Pokemon,"Gardevoir has the psychokinetic power to distort the
dimensions and create a small black hole. This Pokemon
will try to protect its Trainer even at the risk of its own life."
283,Surskit,5.00,17.00,Pond Skater Pokemon,"When this Pokemon senses danger, a sweet
fluid oozes from the tip of its head. The taste
of it disgusts bird Pokemon."
284,Masquerain,8.00,36.00,Eyeball Pokemon,"Its wings and antennae donâ€™t cope well with
moisture. After a rain, it faces sunward to
dry off."
285,Shroomish,4.00,45.00,Mushroom Pokemon,"If Shroomish senses danger, it shakes its body and scatters
spores from the top of its head. This Pokemonâ€™s spores are
so toxic, they make trees and weeds wilt."
286,Breloom,12.00,392.00,Mushroom Pokemon,"The seeds ringing Breloomâ€™s tail are made of hardened toxic
spores. It is horrible to eat the seeds. Just taking a bite of this
Pokemonâ€™s seed will cause your stomach to rumble."
287,Slakoth,8.00,240.00,Slacker Pokemon,"Slakothâ€™s heart beats just once a minute. Whatever happens,
it is content to loaf around motionless. It is rare to see this
Pokemon in motion."
288,Vigoroth,14.00,465.00,Wild Monkey Pokemon,"Vigoroth is simply incapable of remaining still. Even when it
tries to sleep, the blood in its veins grows agitated, compelling
this Pokemon to run wild throughout the jungle before it can
settle down."
289,Slaking,20.00,1305.00,Lazy Pokemon,"Wherever Slaking live, rings of over a yard in diameter appear
in grassy fields. They are made by the Pokemon as it eats all
the grass within reach while lying prone on the ground."
290,Nincada,5.00,55.00,Trainee Pokemon,"Nincada lives underground. It uses its sharp claws to carve the
roots of trees and absorb moisture and nutrients.
This Pokemon canâ€™t withstand bright sunlight so avoids it."
291,Ninjask,8.00,120.00,Ninja Pokemon,"If Ninjask is not trained properly, it will refuse to obey
the Trainer and cry loudly continuously. Because of this
quality, this Pokemon is said to be one that puts the
Trainerâ€™s abilities to the test."
292,Shedinja,8.00,12.00,Shed Pokemon,"Shedinja is a peculiar Pokemon. It seems to appear unsought
in a PokÃ© Ball after a Nincada evolves. This bizarre Pokemon
is entirely immobileâ€”it doesnâ€™t even breathe."
293,Whismur,6.00,163.00,Whisper Pokemon,"Whismur is very timid. If it starts to cry loudly, it becomes
startled by its own crying and cries even harder. When it finally
stops crying, the Pokemon goes to sleep, all tired out."
294,Loudred,10.00,405.00,Big Voice Pokemon,"Loudred shouts while stamping its feet. After it finishes
shouting, this Pokemon becomes incapable of hearing
anything for a while. This is considered to be a weak point."
295,Exploud,15.00,840.00,Loud Noise Pokemon,"Exploud communicates its feelings to the others by emitting
whistle-like sounds from the tubes on its body. This Pokemon
only raises its voice when it is in battle."
296,Makuhita,10.00,864.00,Guts Pokemon,"Their daily routine consists of training together
first thing in the morning, eating and napping in
the afternoon, and then more training afterward."
297,Hariyama,23.00,2538.00,Arm Thrust Pokemon,"They love to compare their freakish strengthâ€”
strength enough to send a truck flying with a
single slap."
298,Azurill,2.00,20.00,Polka Dot Pokemon,"Azurillâ€™s tail is large and bouncy. It is packed full of the
nutrients this Pokemon needs to grow. Azurill can be seen
bouncing and playing on its big, rubbery tail."
299,Nosepass,10.00,970.00,Compass Pokemon,"It uses powerful magnetism to drag its prey
toward it. Itâ€™s also been known to pull in metal,
which it collects and uses to protect itself."
300,Skitty,6.00,110.00,Kitten Pokemon,"Skitty is known to chase around playfully after its own tail.
In the wild, this Pokemon lives in holes in the trees of forests.
It is very popular as a pet because of its adorable looks."
301,Delcatty,11.00,326.00,Prim Pokemon,"Delcatty sleeps anywhere it wants without keeping a permanent
nest. If other Pokemon approach it as it sleeps, this Pokemon
will never fightâ€”it will just move away somewhere else."
302,Sableye,5.00,110.00,Darkness Pokemon,"This Pokemon is feared. When its gemstone eyes
begin to glow with a sinister shine, itâ€™s believed
that Sableye will steal peopleâ€™s spirits away."
303,Mawile,6.00,115.00,Deceiver Pokemon,"Donâ€™t be taken in by this Pokemonâ€™s cute faceâ€”itâ€™s very
dangerous. Mawile fools the foe into letting down its guard,
then chomps down with its massive jaws. The steel jaws are
really horns that have been transformed."
304,Aron,4.00,600.00,Iron Armor Pokemon,"Aron has a body of steel. With one all-out charge, this
Pokemon can demolish even a heavy dump truck.
The destroyed dump truck then becomes a handy meal
for the Pokemon."
305,Lairon,9.00,1200.00,Iron Armor Pokemon,"Lairon feeds on iron contained in rocks and water. It makes
its nest on mountains where iron ore is buried. As a result,
the Pokemon often clashes with humans mining the iron ore."
306,Aggron,21.00,3600.00,Iron Armor Pokemon,"Aggron is protective of its environment. If its mountain is
ravaged by a landslide or a fire, this Pokemon will haul
topsoil to the area, plant trees, and beautifully restore its
own territory."
307,Meditite,6.00,112.00,Meditate Pokemon,"Meditite heightens its inner energy through meditation.
It survives on just one berry a day. Minimal eating is another
aspect of this Pokemonâ€™s training."
308,Medicham,13.00,315.00,Meditate Pokemon,"Through the power of meditation, Medicham developed its
sixth sense. It gained the ability to use psychokinetic powers.
This Pokemon is known to meditate for a whole month
without eating."
309,Electrike,6.00,152.00,Lightning Pokemon,"Electrike runs faster than the human eye can follow.
The friction from running is converted into electricity,
which is then stored in this Pokemonâ€™s fur."
310,Manectric,15.00,402.00,Discharge Pokemon,"Manectric discharges strong electricity from its mane.
The mane is used for collecting electricity in the atmosphere.
This Pokemon creates thunderclouds above its head."
311,Plusle,4.00,42.00,Cheering Pokemon,"When Plusle is cheering on its partner, it flashes with electric
sparks from all over its body. If its partner loses, this Pokemon
cries loudly."
312,Minun,4.00,42.00,Cheering Pokemon,"Minun loves to cheer on its partner in battle. It gives off sparks
from its body while it is doing so. If its partner is in trouble,
this Pokemon gives off increasing amounts of sparks."
313,Volbeat,7.00,177.00,Firefly Pokemon,"Volbeatâ€™s tail glows like a lightbulb. With other Volbeat,
it uses its tail to draw geometric shapes in the night sky.
This Pokemon loves the sweet aroma given off by Illumise."
314,Illumise,6.00,177.00,Firefly Pokemon,"Illumise leads a flight of illuminated Volbeat to draw signs in
the night sky. This Pokemon is said to earn greater respect
from its peers by composing more complex designs in the sky."
315,Roselia,3.00,20.00,Thorn Pokemon,"On extremely rare occasions, a Roselia is said to appear with
its flowers in unusual colors. The thorns on this Pokemonâ€™s
head contain a vicious poison."
316,Gulpin,4.00,103.00,Stomach Pokemon,"Most of Gulpinâ€™s body is made up of its stomachâ€”its heart and
brain are very small in comparison. This Pokemonâ€™s stomach
contains special enzymes that dissolve anything."
317,Swalot,17.00,800.00,Poison Bag Pokemon,"Swalot has no teeth, so what it eats, it swallows whole, no
matter what. Its cavernous mouth yawns widely. An automobile
tire could easily fit inside this Pokemonâ€™s mouth."
318,Carvanha,8.00,208.00,Savage Pokemon,"If they scent the faintest trace of blood, they
rush to attack en masse. When alone, theyâ€™re
rather cowardly."
319,Sharpedo,18.00,888.00,Brutal Pokemon,"It has a sad history. In the past, its dorsal fin
was a treasured foodstuff, so this Pokemon
became a victim of overfishing."
320,Wailmer,20.00,1300.00,Ball Whale Pokemon,"It shows off by spraying jets of seawater from
the nostrils above its eyes. It eats a solid ton of
Wishiwashi every day."
321,Wailord,145.00,3980.00,Float Whale Pokemon,"Its immense size is the reason for its popularity.
Wailord watching is a favorite sightseeing
activity in various parts of the world."
322,Numel,7.00,240.00,Numb Pokemon,"Numel stores magma of almost 2,200 degrees Fahrenheit
within its body. If it gets wet, the magma cools and hardens.
In that event, the Pokemonâ€™s body grows heavy and its
movements become sluggish."
323,Camerupt,19.00,2200.00,Eruption Pokemon,"The humps on Cameruptâ€™s back are formed by a transformation
of its bones. They sometimes blast out molten magma.
This Pokemon apparently erupts often when it is enraged."
324,Torkoal,5.00,804.00,Coal Pokemon,"If the fire burning within its shell goes out, it will
die. Those who wish to raise one in their home
must always keep something flammable at hand."
325,Spoink,7.00,306.00,Bounce Pokemon,"Spoink keeps a pearl on top of its head. The pearl functions to
amplify this Pokemonâ€™s psychokinetic powers. It is therefore on
a constant search for a bigger pearl."
